edge_id,way_id,name,lat,lon,start_node,end_node
-1254507006#0,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0312255,105.7859743,11652146939,1707941857
-1254507006#1,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0313002,105.7855049,cluster_11397893965_5719132633,11652146939
-1254507006#3,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0313373,105.7852817,1707941852,cluster_11397893965_5719132633
-1254507006#4,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0315249,105.7850025,5430736847,1707941852
-1254507006#5,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0318532,105.7846439,5430736850,5430736847
-1254814821#0,1254814821,Phố Dịch Vọng Hậu,21.0334423,105.7880086,11675862886,cluster_13096065958_1707941856
-1254814821#1,1254814821,Phố Dịch Vọng Hậu,21.0333602,105.7883798,10232835339,11675862886
-1254814821#2,1254814821,Phố Dịch Vọng Hậu,21.0333126,105.788595,cluster_1221130549_1707941854,10232835339
-1255919811#0,1255919811,Ngõ 1 Phố Dịch Vọng Hậu,21.0321469,105.7878494,11675862888,1707941881
-1255919811#1,1255919811,Ngõ 1 Phố Dịch Vọng Hậu,21.0325094,105.787942,11675862887,11675862888
-1255919811#2,1255919811,Ngõ 1 Phố Dịch Vọng Hậu,21.0330366,105.7880774,11675862886,11675862887
-1271092750,1271092750,Phố Dịch Vọng,21.0321164,105.79313,1691398105,1691398125
-1271092751,1271092751,Phố Dịch Vọng,21.0327273,105.793452,1691398125,5718908526
-1271402726#0,1271402726,Phố Dịch Vọng,21.0314291,105.7926907,6403349888,5717110597
-1271402726#1,1271402726,Phố Dịch Vọng,21.0312419,105.7925696,6403351557,6403349888
-1271402726#2,1271402726,Phố Dịch Vọng,21.0310512,105.7924463,1691398176,6403351557
-1271402727#0,1271402727,Phố Dịch Vọng,21.0317434,105.7928951,1865400250,1691398105
-1271402727#1,1271402727,Phố Dịch Vọng,21.0315745,105.7927859,5717110597,1865400250
-1292780147#0,1292780147,Phố Trần Quốc Hoàn,21.0416231,105.7902554,10280203878,cluster_10236726395_10280203882_317129293
-1292780147#1,1292780147,Phố Trần Quốc Hoàn,21.0416235,105.7899449,10269855940,10280203878
-1292780147#10,1292780147,Phố Trần Quốc Hoàn,21.0416273,105.7873557,cluster_11572142325_1745050280,11556785885
-1292780147#12,1292780147,Phố Trần Quốc Hoàn,21.0416274,105.7869203,5703749372,cluster_11572142325_1745050280
-1292780147#13,1292780147,Phố Trần Quốc Hoàn,21.0416279,105.7865599,10246094384,5703749372
-1292780147#2,1292780147,Phố Trần Quốc Hoàn,21.0416239,105.789617,cluster_10248832793_5703749382,10269855940
-1292780147#3,1292780147,Phố Trần Quốc Hoàn,21.0416243,105.7892868,cluster_10248832786_1745050360,cluster_10248832793_5703749382
-1292780147#4,1292780147,Phố Trần Quốc Hoàn,21.0416248,105.7889354,5703749397,cluster_10248832786_1745050360
-1292780147#5,1292780147,Phố Trần Quốc Hoàn,21.041625,105.7886704,cluster_10269685081_11237795947,5703749397
-1292780147#6,1292780147,Phố Trần Quốc Hoàn,21.0416255,105.7883845,cluster_10248832785_1745050270,cluster_10269685081_11237795947
-1292780147#8,1292780147,Phố Trần Quốc Hoàn,21.0416288,105.7880387,cluster_10248832788_1695508239,cluster_10248832785_1745050270
-1292780147#9,1292780147,Phố Trần Quốc Hoàn,21.0416291,105.787649,11556785885,cluster_10248832788_1695508239
-1292780148#0,1292780148,Phố Trần Quốc Hoàn,21.0416315,105.7863019,cluster_10280208118_311718514,10246094384
-1292780148#1,1292780148,Phố Trần Quốc Hoàn,21.0416509,105.7858191,10220846269,cluster_10280208118_311718514
-1292780148#2,1292780148,Phố Trần Quốc Hoàn,21.0416764,105.7851863,10220846268,10220846269
-1292780148#3,1292780148,Phố Trần Quốc Hoàn,21.0417009,105.7846072,cluster_10248704931_11556258287,10220846268
-1417258127#1,1417258127,Ngách 2 Ngõ 10 Nguyễn Văn Huyên,21.0378665,105.7970056,5707249861,cluster_10304135382_5707249864
-1425288811#1,1425288811,Ngõ 86 Duy Tân,21.0330074,105.7821972,5717021128,cluster_10230902536_10230902564_10230902567_4084743293
-148202890#10,148202890,Phố Quan Hoa,21.0307654,105.8014379,10262599692,5719519966
-148202890#11,148202890,Phố Quan Hoa,21.0305376,105.8012301,317367023,10262599692
-148202890#2,148202890,Phố Quan Hoa,21.0344212,105.8042982,5716306079,1691398129
-148202890#3,148202890,Phố Quan Hoa,21.034107,105.8040845,6408482842,5716306079
-148202890#4,148202890,Phố Quan Hoa,21.0336397,105.8038074,6408482838,6408482842
-148202890#5,148202890,Phố Quan Hoa,21.0330168,105.8034199,6408482844,6408482838
-148202890#7,148202890,Phố Quan Hoa,21.0319707,105.8025242,6408482837,6408482841
-148202890#8,148202890,Phố Quan Hoa,21.0313586,105.8019756,5719519971,6408482837
-148202890#9,148202890,Phố Quan Hoa,21.0310159,105.8016653,5719519966,5719519971
-156785153#1,156785153,Ngõ 158 Đường Nguyễn Khánh Toàn,21.0386933,105.8001461,1690247156,cluster_10304029874_1690247159
-156785153#2,156785153,Ngõ 158 Đường Nguyễn Khánh Toàn,21.0388282,105.8005359,1690247174,1690247156
-156785153#3,156785153,Ngõ 158 Đường Nguyễn Khánh Toàn,21.0388375,105.8009715,5707650515,1690247174
-156785153#4,156785153,Ngõ 158 Đường Nguyễn Khánh Toàn,21.0388434,105.8012465,5707400119,5707650515
-156785153#5,156785153,Ngõ 158 Đường Nguyễn Khánh Toàn,21.0388377,105.8015332,cluster_1690247135_5707655758,5707400119
-156785163#5,156785163,Ngõ 2 Phố Hoàng Sâm,21.0425217,105.7989674,cluster_11240561489_11240561491,cluster_1745068351_2185283219
-156898463#0,156898463,Phố Hoàng Quán Chi,21.0300483,105.7933807,1691398147,1691398168
-156898463#1,156898463,Phố Hoàng Quán Chi,21.0294436,105.7931161,11167471357,1691398147
-156898463#2,156898463,Phố Hoàng Quán Chi,21.0292918,105.7930516,1691398078,11167471357
-156898466#0,156898466,Ngõ 49 Phố Trần Đăng Ninh,21.0366473,105.793652,cluster_10304262513_1691398128,444250177
-156898469#0,156898469,Phố Thành Thái,21.0297732,105.7909357,10232818113,cluster_1691398086_2185731879
-156898469#1,156898469,Phố Thành Thái,21.0298883,105.7903202,10232818116,10232818113
-156898469#2,156898469,Phố Thành Thái,21.0300028,105.7897103,1691398154,10232818116
-156898479#0,156898479,Ngõ 75 Trần Thái Tông,21.0332453,105.7889511,10232835401,cluster_1221130549_1707941854
